R	53.2469	-6.66386	D212	02 Feb 2026	D212\n13:20 - Dublin Heuston to Portlaoise (0 mins late)\nDeparted Sallins next stop Newbridge	To Portlaoise
R	53.3632	-6.25908	D910	02 Feb 2026	D910\n13:47 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Drumcondra next stop Broombridge	Northbound
R	53.3704	-6.50598	D909	02 Feb 2026	D909\n13:17 - Dublin Connolly to Maynooth (0 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
